 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 350050 Águas de Lindóia
Período:2006
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";597;567;1164
"De 5 a 9 anos";684;616;1300
"De 10 a 14 anos";635;662;1297
"De 15 a 19 anos";722;708;1430
"De 20 a 24 anos";769;765;1534
"De 25 a 29 anos";747;717;1464
"De 30 a 34 anos";643;685;1328
"De 35 a 39 anos";630;662;1292
"De 40 a 44 anos";601;635;1236
"De 45 a 49 anos";559;572;1131
"De 50 a 54 anos";442;501;943
"De 55 a 59 anos";382;425;807
"De 60 a 64 anos";292;312;604
"De 65 a 69 anos";262;297;559
"De 70 a 74 anos";214;242;456
"De 75 a 79 anos";161;178;339
"De 80 anos ou mais";128;201;329
"Total";8468;8745;17213
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

