 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 350070 Agudos
Período:2008
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1350;1310;2660
"De 5 a 9 anos";1447;1366;2813
"De 10 a 14 anos";1562;1483;3045
"De 15 a 19 anos";1573;1565;3138
"De 20 a 24 anos";1628;1615;3243
"De 25 a 29 anos";1540;1537;3077
"De 30 a 34 anos";1372;1386;2758
"De 35 a 39 anos";1253;1310;2563
"De 40 a 44 anos";1164;1193;2357
"De 45 a 49 anos";1065;1105;2170
"De 50 a 54 anos";933;981;1914
"De 55 a 59 anos";773;782;1555
"De 60 a 64 anos";546;598;1144
"De 65 a 69 anos";419;454;873
"De 70 a 74 anos";310;375;685
"De 75 a 79 anos";199;269;468
"De 80 anos ou mais";182;299;481
"Total";17316;17628;34944
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

