 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 350290 Araçoiaba da Serra
Período:2018
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1202;1147;2349
"De 5 a 9 anos";1188;1134;2322
"De 10 a 14 anos";1083;1084;2167
"De 15 a 19 anos";1109;1125;2234
"De 20 a 24 anos";1259;1219;2478
"De 25 a 29 anos";1290;1238;2528
"De 30 a 34 anos";1266;1273;2539
"De 35 a 39 anos";1235;1279;2514
"De 40 a 44 anos";1210;1255;2465
"De 45 a 49 anos";1213;1223;2436
"De 50 a 54 anos";1143;1162;2305
"De 55 a 59 anos";1030;999;2029
"De 60 a 64 anos";850;828;1678
"De 65 a 69 anos";638;631;1269
"De 70 a 74 anos";444;458;902
"De 75 a 79 anos";297;298;595
"De 80 anos ou mais";307;382;689
"Total";16764;16735;33499
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

