 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 350300 Aramina
Período:2020
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";164;157;321
"De 5 a 9 anos";173;167;340
"De 10 a 14 anos";184;152;336
"De 15 a 19 anos";170;160;330
"De 20 a 24 anos";179;194;373
"De 25 a 29 anos";222;213;435
"De 30 a 34 anos";244;239;483
"De 35 a 39 anos";232;241;473
"De 40 a 44 anos";177;209;386
"De 45 a 49 anos";197;166;363
"De 50 a 54 anos";179;202;381
"De 55 a 59 anos";193;202;395
"De 60 a 64 anos";162;138;300
"De 65 a 69 anos";102;136;238
"De 70 a 74 anos";94;87;181
"De 75 a 79 anos";69;73;142
"De 80 anos ou mais";87;91;178
"Total";2828;2827;5655
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

