 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 350335 Arco-Íris
Período:2012
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";59;57;116
"De 5 a 9 anos";61;55;116
"De 10 a 14 anos";63;64;127
"De 15 a 19 anos";76;69;145
"De 20 a 24 anos";70;74;144
"De 25 a 29 anos";64;81;145
"De 30 a 34 anos";66;74;140
"De 35 a 39 anos";68;63;131
"De 40 a 44 anos";67;72;139
"De 45 a 49 anos";67;68;135
"De 50 a 54 anos";70;63;133
"De 55 a 59 anos";60;57;117
"De 60 a 64 anos";51;45;96
"De 65 a 69 anos";45;45;90
"De 70 a 74 anos";34;33;67
"De 75 a 79 anos";25;20;45
"De 80 anos ou mais";22;24;46
"Total";968;964;1932
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

