 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 350460 Bady Bassitt
Período:2002
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";539;511;1050
"De 5 a 9 anos";544;503;1047
"De 10 a 14 anos";522;489;1011
"De 15 a 19 anos";532;529;1061
"De 20 a 24 anos";554;565;1119
"De 25 a 29 anos";567;577;1144
"De 30 a 34 anos";548;551;1099
"De 35 a 39 anos";515;494;1009
"De 40 a 44 anos";455;445;900
"De 45 a 49 anos";374;387;761
"De 50 a 54 anos";295;298;593
"De 55 a 59 anos";235;222;457
"De 60 a 64 anos";202;193;395
"De 65 a 69 anos";159;162;321
"De 70 a 74 anos";101;123;224
"De 75 a 79 anos";71;88;159
"De 80 anos ou mais";53;60;113
"Total";6266;6197;12463
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

