 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 350470 Balbinos
Período:2013
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";40;37;77
"De 5 a 9 anos";38;38;76
"De 10 a 14 anos";55;38;93
"De 15 a 19 anos";94;37;131
"De 20 a 24 anos";319;46;365
"De 25 a 29 anos";1039;58;1097
"De 30 a 34 anos";1019;48;1067
"De 35 a 39 anos";581;36;617
"De 40 a 44 anos";272;39;311
"De 45 a 49 anos";142;35;177
"De 50 a 54 anos";90;36;126
"De 55 a 59 anos";61;41;102
"De 60 a 64 anos";44;25;69
"De 65 a 69 anos";27;18;45
"De 70 a 74 anos";19;18;37
"De 75 a 79 anos";15;15;30
"De 80 anos ou mais";14;20;34
"Total";3869;585;4454
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

