 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 350535 Barra do Chapéu
Período:2016
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";257;243;500
"De 5 a 9 anos";228;221;449
"De 10 a 14 anos";203;206;409
"De 15 a 19 anos";256;213;469
"De 20 a 24 anos";235;209;444
"De 25 a 29 anos";209;209;418
"De 30 a 34 anos";220;220;440
"De 35 a 39 anos";211;192;403
"De 40 a 44 anos";205;180;385
"De 45 a 49 anos";185;158;343
"De 50 a 54 anos";184;134;318
"De 55 a 59 anos";155;130;285
"De 60 a 64 anos";125;101;226
"De 65 a 69 anos";96;73;169
"De 70 a 74 anos";72;66;138
"De 75 a 79 anos";55;51;106
"De 80 anos ou mais";62;49;111
"Total";2958;2655;5613
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

