 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 350590 Batatais
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";2033;1929;3962
"De 5 a 9 anos";2243;2136;4379
"De 10 a 14 anos";2265;2254;4519
"De 15 a 19 anos";2456;2335;4791
"De 20 a 24 anos";2524;2450;4974
"De 25 a 29 anos";2358;2238;4596
"De 30 a 34 anos";1949;1961;3910
"De 35 a 39 anos";1939;2008;3947
"De 40 a 44 anos";1920;1975;3895
"De 45 a 49 anos";1751;1865;3616
"De 50 a 54 anos";1500;1557;3057
"De 55 a 59 anos";1183;1224;2407
"De 60 a 64 anos";846;960;1806
"De 65 a 69 anos";728;892;1620
"De 70 a 74 anos";547;692;1239
"De 75 a 79 anos";401;537;938
"De 80 anos ou mais";316;534;850
"Total";26959;27547;54506
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

