 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 350635 Bertioga
Período:2013
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";2495;2405;4900
"De 5 a 9 anos";2377;2301;4678
"De 10 a 14 anos";2473;2418;4891
"De 15 a 19 anos";2392;2376;4768
"De 20 a 24 anos";2177;2249;4426
"De 25 a 29 anos";2281;2408;4689
"De 30 a 34 anos";2223;2386;4609
"De 35 a 39 anos";2114;2197;4311
"De 40 a 44 anos";1897;1889;3786
"De 45 a 49 anos";1639;1644;3283
"De 50 a 54 anos";1318;1415;2733
"De 55 a 59 anos";1088;1120;2208
"De 60 a 64 anos";843;823;1666
"De 65 a 69 anos";574;562;1136
"De 70 a 74 anos";387;347;734
"De 75 a 79 anos";219;239;458
"De 80 anos ou mais";197;263;460
"Total";26694;27042;53736
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

