 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 350640 Bilac
Período:2018
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";194;185;379
"De 5 a 9 anos";214;189;403
"De 10 a 14 anos";229;208;437
"De 15 a 19 anos";264;237;501
"De 20 a 24 anos";300;256;556
"De 25 a 29 anos";315;285;600
"De 30 a 34 anos";334;312;646
"De 35 a 39 anos";336;305;641
"De 40 a 44 anos";304;302;606
"De 45 a 49 anos";298;295;593
"De 50 a 54 anos";280;276;556
"De 55 a 59 anos";240;270;510
"De 60 a 64 anos";208;238;446
"De 65 a 69 anos";166;187;353
"De 70 a 74 anos";115;150;265
"De 75 a 79 anos";84;110;194
"De 80 anos ou mais";102;161;263
"Total";3983;3966;7949
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

