 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 350860 Cachoeira Paulista
Período:2019
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1172;1119;2291
"De 5 a 9 anos";1161;1079;2240
"De 10 a 14 anos";1112;1035;2147
"De 15 a 19 anos";1045;1096;2141
"De 20 a 24 anos";1186;1125;2311
"De 25 a 29 anos";1322;1199;2521
"De 30 a 34 anos";1361;1344;2705
"De 35 a 39 anos";1334;1388;2722
"De 40 a 44 anos";1182;1307;2489
"De 45 a 49 anos";1085;1094;2179
"De 50 a 54 anos";983;1075;2058
"De 55 a 59 anos";949;1060;2009
"De 60 a 64 anos";826;882;1708
"De 65 a 69 anos";624;702;1326
"De 70 a 74 anos";444;540;984
"De 75 a 79 anos";268;388;656
"De 80 anos ou mais";305;535;840
"Total";16359;16968;33327
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

