 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 350890 Caiabu
Período:2005
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";148;141;289
"De 5 a 9 anos";166;169;335
"De 10 a 14 anos";192;165;357
"De 15 a 19 anos";196;180;376
"De 20 a 24 anos";161;175;336
"De 25 a 29 anos";161;133;294
"De 30 a 34 anos";143;164;307
"De 35 a 39 anos";190;159;349
"De 40 a 44 anos";160;160;320
"De 45 a 49 anos";130;117;247
"De 50 a 54 anos";108;97;205
"De 55 a 59 anos";98;79;177
"De 60 a 64 anos";79;79;158
"De 65 a 69 anos";76;72;148
"De 70 a 74 anos";47;59;106
"De 75 a 79 anos";45;45;90
"De 80 anos ou mais";30;39;69
"Total";2130;2033;4163
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

