 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 350940 Cajuru
Período:2016
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";960;916;1876
"De 5 a 9 anos";950;863;1813
"De 10 a 14 anos";927;882;1809
"De 15 a 19 anos";993;962;1955
"De 20 a 24 anos";1033;1047;2080
"De 25 a 29 anos";1090;1060;2150
"De 30 a 34 anos";1043;1015;2058
"De 35 a 39 anos";928;964;1892
"De 40 a 44 anos";863;846;1709
"De 45 a 49 anos";824;804;1628
"De 50 a 54 anos";754;776;1530
"De 55 a 59 anos";655;695;1350
"De 60 a 64 anos";528;524;1052
"De 65 a 69 anos";410;438;848
"De 70 a 74 anos";283;340;623
"De 75 a 79 anos";203;272;475
"De 80 anos ou mais";262;350;612
"Total";12706;12754;25460
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

