 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 351090 Cássia dos Coqueiros
Período:2001
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";117;115;232
"De 5 a 9 anos";135;145;280
"De 10 a 14 anos";142;142;284
"De 15 a 19 anos";141;130;271
"De 20 a 24 anos";122;108;230
"De 25 a 29 anos";102;101;203
"De 30 a 34 anos";99;112;211
"De 35 a 39 anos";118;101;219
"De 40 a 44 anos";106;94;200
"De 45 a 49 anos";95;82;177
"De 50 a 54 anos";73;63;136
"De 55 a 59 anos";63;49;112
"De 60 a 64 anos";52;50;102
"De 65 a 69 anos";46;41;87
"De 70 a 74 anos";40;33;73
"De 75 a 79 anos";34;21;55
"De 80 anos ou mais";13;14;27
"Total";1498;1401;2899
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

