 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 351160 Cesário Lange
Período:2001
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";611;579;1190
"De 5 a 9 anos";598;567;1165
"De 10 a 14 anos";575;597;1172
"De 15 a 19 anos";631;609;1240
"De 20 a 24 anos";740;567;1307
"De 25 a 29 anos";704;547;1251
"De 30 a 34 anos";570;512;1082
"De 35 a 39 anos";545;444;989
"De 40 a 44 anos";434;405;839
"De 45 a 49 anos";377;371;748
"De 50 a 54 anos";355;308;663
"De 55 a 59 anos";258;245;503
"De 60 a 64 anos";220;210;430
"De 65 a 69 anos";159;153;312
"De 70 a 74 anos";101;116;217
"De 75 a 79 anos";94;113;207
"De 80 anos ou mais";58;64;122
"Total";7030;6407;13437
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

