 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 351220 Conchal
Período:2008
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1011;979;1990
"De 5 a 9 anos";1131;1119;2250
"De 10 a 14 anos";1180;1169;2349
"De 15 a 19 anos";1239;1166;2405
"De 20 a 24 anos";1343;1203;2546
"De 25 a 29 anos";1166;1113;2279
"De 30 a 34 anos";1025;935;1960
"De 35 a 39 anos";879;874;1753
"De 40 a 44 anos";840;853;1693
"De 45 a 49 anos";742;733;1475
"De 50 a 54 anos";628;608;1236
"De 55 a 59 anos";509;491;1000
"De 60 a 64 anos";386;390;776
"De 65 a 69 anos";285;304;589
"De 70 a 74 anos";210;242;452
"De 75 a 79 anos";117;176;293
"De 80 anos ou mais";108;173;281
"Total";12799;12528;25327
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

