 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 351250 Coroados
Período:2005
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";206;197;403
"De 5 a 9 anos";197;183;380
"De 10 a 14 anos";204;210;414
"De 15 a 19 anos";233;217;450
"De 20 a 24 anos";218;211;429
"De 25 a 29 anos";226;218;444
"De 30 a 34 anos";187;194;381
"De 35 a 39 anos";169;181;350
"De 40 a 44 anos";177;180;357
"De 45 a 49 anos";147;164;311
"De 50 a 54 anos";136;133;269
"De 55 a 59 anos";123;108;231
"De 60 a 64 anos";77;66;143
"De 65 a 69 anos";71;72;143
"De 70 a 74 anos";49;66;115
"De 75 a 79 anos";36;34;70
"De 80 anos ou mais";28;34;62
"Total";2484;2468;4952
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

