 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 351370 Descalvado
Período:2002
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1171;1121;2292
"De 5 a 9 anos";1232;1180;2412
"De 10 a 14 anos";1307;1301;2608
"De 15 a 19 anos";1486;1443;2929
"De 20 a 24 anos";1399;1375;2774
"De 25 a 29 anos";1225;1210;2435
"De 30 a 34 anos";1153;1124;2277
"De 35 a 39 anos";1115;1113;2228
"De 40 a 44 anos";1020;1064;2084
"De 45 a 49 anos";905;910;1815
"De 50 a 54 anos";744;762;1506
"De 55 a 59 anos";590;603;1193
"De 60 a 64 anos";488;507;995
"De 65 a 69 anos";394;445;839
"De 70 a 74 anos";319;373;692
"De 75 a 79 anos";234;309;543
"De 80 anos ou mais";134;217;351
"Total";14916;15057;29973
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

