 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 351380 Diadema
Período:2018
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";16005;15277;31282
"De 5 a 9 anos";15332;14950;30282
"De 10 a 14 anos";15517;15283;30800
"De 15 a 19 anos";16964;16551;33515
"De 20 a 24 anos";17222;17031;34253
"De 25 a 29 anos";17188;17197;34385
"De 30 a 34 anos";18103;18732;36835
"De 35 a 39 anos";17126;18652;35778
"De 40 a 44 anos";15164;16990;32154
"De 45 a 49 anos";13452;15249;28701
"De 50 a 54 anos";11629;13557;25186
"De 55 a 59 anos";9346;11562;20908
"De 60 a 64 anos";7416;9392;16808
"De 65 a 69 anos";5356;6977;12333
"De 70 a 74 anos";3368;4614;7982
"De 75 a 79 anos";1913;2852;4765
"De 80 anos ou mais";1732;3235;4967
"Total";202833;218101;420934
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

