 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 351410 Dois Córregos
Período:2006
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1054;1003;2057
"De 5 a 9 anos";981;974;1955
"De 10 a 14 anos";1027;986;2013
"De 15 a 19 anos";1066;1017;2083
"De 20 a 24 anos";1162;1124;2286
"De 25 a 29 anos";1070;1007;2077
"De 30 a 34 anos";966;899;1865
"De 35 a 39 anos";880;808;1688
"De 40 a 44 anos";797;822;1619
"De 45 a 49 anos";721;695;1416
"De 50 a 54 anos";628;627;1255
"De 55 a 59 anos";515;538;1053
"De 60 a 64 anos";396;417;813
"De 65 a 69 anos";335;384;719
"De 70 a 74 anos";281;342;623
"De 75 a 79 anos";201;265;466
"De 80 anos ou mais";184;274;458
"Total";12264;12182;24446
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

