 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 351460 Dumont
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";288;279;567
"De 5 a 9 anos";310;316;626
"De 10 a 14 anos";330;289;619
"De 15 a 19 anos";358;371;729
"De 20 a 24 anos";363;374;737
"De 25 a 29 anos";316;279;595
"De 30 a 34 anos";282;273;555
"De 35 a 39 anos";278;273;551
"De 40 a 44 anos";267;250;517
"De 45 a 49 anos";228;220;448
"De 50 a 54 anos";183;184;367
"De 55 a 59 anos";137;118;255
"De 60 a 64 anos";94;96;190
"De 65 a 69 anos";83;85;168
"De 70 a 74 anos";67;72;139
"De 75 a 79 anos";44;52;96
"De 80 anos ou mais";34;39;73
"Total";3662;3570;7232
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

