 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 351535 Euclides da Cunha Paulista
Período:2018
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";365;349;714
"De 5 a 9 anos";356;321;677
"De 10 a 14 anos";335;299;634
"De 15 a 19 anos";335;325;660
"De 20 a 24 anos";372;359;731
"De 25 a 29 anos";367;374;741
"De 30 a 34 anos";340;355;695
"De 35 a 39 anos";331;337;668
"De 40 a 44 anos";338;345;683
"De 45 a 49 anos";351;339;690
"De 50 a 54 anos";325;321;646
"De 55 a 59 anos";258;267;525
"De 60 a 64 anos";204;202;406
"De 65 a 69 anos";164;147;311
"De 70 a 74 anos";124;119;243
"De 75 a 79 anos";95;98;193
"De 80 anos ou mais";114;88;202
"Total";4774;4645;9419
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

