 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 351590 Floreal
Período:2010
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";62;45;107
"De 5 a 9 anos";98;82;180
"De 10 a 14 anos";97;84;181
"De 15 a 19 anos";124;112;236
"De 20 a 24 anos";118;98;216
"De 25 a 29 anos";118;92;210
"De 30 a 34 anos";92;96;188
"De 35 a 39 anos";92;114;206
"De 40 a 44 anos";128;114;242
"De 45 a 49 anos";108;133;241
"De 50 a 54 anos";118;113;231
"De 55 a 59 anos";84;112;196
"De 60 a 64 anos";89;91;180
"De 65 a 69 anos";75;68;143
"De 70 a 74 anos";58;75;133
"De 75 a 79 anos";33;59;92
"De 80 anos ou mais";44;52;96
"Total";1538;1540;3078
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

