 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 351760 Guapiara
Período:2017
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";669;639;1308
"De 5 a 9 anos";630;603;1233
"De 10 a 14 anos";633;574;1207
"De 15 a 19 anos";643;632;1275
"De 20 a 24 anos";660;693;1353
"De 25 a 29 anos";639;657;1296
"De 30 a 34 anos";594;612;1206
"De 35 a 39 anos";605;598;1203
"De 40 a 44 anos";610;591;1201
"De 45 a 49 anos";618;589;1207
"De 50 a 54 anos";587;581;1168
"De 55 a 59 anos";505;487;992
"De 60 a 64 anos";413;378;791
"De 65 a 69 anos";347;309;656
"De 70 a 74 anos";275;237;512
"De 75 a 79 anos";196;187;383
"De 80 anos ou mais";216;225;441
"Total";8840;8592;17432
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

