 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 351880 Guarulhos
Período:2010
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";50831;48592;99423
"De 5 a 9 anos";54110;52065;106175
"De 10 a 14 anos";56833;56089;112922
"De 15 a 19 anos";52697;52426;105123
"De 20 a 24 anos";56497;55887;112384
"De 25 a 29 anos";56988;58938;115926
"De 30 a 34 anos";53395;56762;110157
"De 35 a 39 anos";48606;51549;100155
"De 40 a 44 anos";44822;47532;92354
"De 45 a 49 anos";37111;41284;78395
"De 50 a 54 anos";31026;35409;66435
"De 55 a 59 anos";24285;27398;51683
"De 60 a 64 anos";17092;20071;37163
"De 65 a 69 anos";11011;13793;24804
"De 70 a 74 anos";7430;10020;17450
"De 75 a 79 anos";4311;6760;11071
"De 80 anos ou mais";3774;7287;11061
"Total";610819;641862;1252681
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

