 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 351880 Guarulhos
Período:2015
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";53047;50648;103695
"De 5 a 9 anos";50185;48215;98400
"De 10 a 14 anos";53819;51781;105600
"De 15 a 19 anos";57538;56677;114215
"De 20 a 24 anos";54542;54033;108575
"De 25 a 29 anos";57708;57121;114829
"De 30 a 34 anos";56503;58864;115367
"De 35 a 39 anos";51918;55986;107904
"De 40 a 44 anos";46661;50607;97268
"De 45 a 49 anos";42722;46463;89185
"De 50 a 54 anos";34855;39907;74762
"De 55 a 59 anos";28452;33919;62371
"De 60 a 64 anos";21740;26041;47781
"De 65 a 69 anos";15032;18827;33859
"De 70 a 74 anos";9216;12513;21729
"De 75 a 79 anos";5744;8635;14379
"De 80 anos ou mais";4979;9676;14655
"Total";644661;679913;1324574
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

