 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 351980 Icém
Período:2018
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";305;291;596
"De 5 a 9 anos";303;281;584
"De 10 a 14 anos";318;260;578
"De 15 a 19 anos";332;269;601
"De 20 a 24 anos";322;306;628
"De 25 a 29 anos";360;334;694
"De 30 a 34 anos";426;348;774
"De 35 a 39 anos";371;324;695
"De 40 a 44 anos";289;282;571
"De 45 a 49 anos";244;251;495
"De 50 a 54 anos";235;236;471
"De 55 a 59 anos";199;216;415
"De 60 a 64 anos";153;194;347
"De 65 a 69 anos";126;142;268
"De 70 a 74 anos";89;96;185
"De 75 a 79 anos";53;74;127
"De 80 anos ou mais";65;87;152
"Total";4190;3991;8181
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

