 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 352010 Igarapava
Período:2005
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1126;1073;2199
"De 5 a 9 anos";1084;1040;2124
"De 10 a 14 anos";1108;1092;2200
"De 15 a 19 anos";1324;1180;2504
"De 20 a 24 anos";1262;1272;2534
"De 25 a 29 anos";1252;1144;2396
"De 30 a 34 anos";1006;1018;2024
"De 35 a 39 anos";982;1045;2027
"De 40 a 44 anos";997;988;1985
"De 45 a 49 anos";855;889;1744
"De 50 a 54 anos";648;729;1377
"De 55 a 59 anos";528;617;1145
"De 60 a 64 anos";444;528;972
"De 65 a 69 anos";373;469;842
"De 70 a 74 anos";282;341;623
"De 75 a 79 anos";194;259;453
"De 80 anos ou mais";169;255;424
"Total";13634;13939;27573
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

