 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 352280 Itaporanga
Período:2006
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";666;627;1293
"De 5 a 9 anos";639;646;1285
"De 10 a 14 anos";600;566;1166
"De 15 a 19 anos";663;632;1295
"De 20 a 24 anos";723;663;1386
"De 25 a 29 anos";623;588;1211
"De 30 a 34 anos";478;501;979
"De 35 a 39 anos";463;483;946
"De 40 a 44 anos";484;494;978
"De 45 a 49 anos";476;496;972
"De 50 a 54 anos";408;428;836
"De 55 a 59 anos";352;334;686
"De 60 a 64 anos";260;261;521
"De 65 a 69 anos";200;237;437
"De 70 a 74 anos";175;178;353
"De 75 a 79 anos";120;125;245
"De 80 anos ou mais";107;105;212
"Total";7437;7364;14801
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

