 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 352310 Itaquaquecetuba
Período:2010
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";15017;14302;29319
"De 5 a 9 anos";16315;15511;31826
"De 10 a 14 anos";17345;16714;34059
"De 15 a 19 anos";15795;15646;31441
"De 20 a 24 anos";15122;15527;30649
"De 25 a 29 anos";14538;15159;29697
"De 30 a 34 anos";13446;14269;27715
"De 35 a 39 anos";12176;12854;25030
"De 40 a 44 anos";11223;11657;22880
"De 45 a 49 anos";9082;9991;19073
"De 50 a 54 anos";7914;8392;16306
"De 55 a 59 anos";5782;6076;11858
"De 60 a 64 anos";3824;4157;7981
"De 65 a 69 anos";2355;2683;5038
"De 70 a 74 anos";1351;1781;3132
"De 75 a 79 anos";802;1197;1999
"De 80 anos ou mais";661;1190;1851
"Total";162748;167106;329854
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

