 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 352440 Jacareí
Período:2005
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";8555;8154;16709
"De 5 a 9 anos";9041;8481;17522
"De 10 a 14 anos";8523;8314;16837
"De 15 a 19 anos";8894;8914;17808
"De 20 a 24 anos";9660;9622;19282
"De 25 a 29 anos";9105;9458;18563
"De 30 a 34 anos";8210;8635;16845
"De 35 a 39 anos";7862;8178;16040
"De 40 a 44 anos";7279;7820;15099
"De 45 a 49 anos";6319;6781;13100
"De 50 a 54 anos";5436;5828;11264
"De 55 a 59 anos";4256;4509;8765
"De 60 a 64 anos";2861;3255;6116
"De 65 a 69 anos";2132;2419;4551
"De 70 a 74 anos";1464;1782;3246
"De 75 a 79 anos";933;1343;2276
"De 80 anos ou mais";780;1296;2076
"Total";101310;104789;206099
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

