 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 352480 Jales
Período:2005
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1582;1508;3090
"De 5 a 9 anos";1700;1576;3276
"De 10 a 14 anos";1753;1650;3403
"De 15 a 19 anos";1926;1876;3802
"De 20 a 24 anos";2205;2148;4353
"De 25 a 29 anos";2035;2023;4058
"De 30 a 34 anos";1758;1872;3630
"De 35 a 39 anos";1797;1917;3714
"De 40 a 44 anos";1712;1899;3611
"De 45 a 49 anos";1583;1691;3274
"De 50 a 54 anos";1324;1468;2792
"De 55 a 59 anos";1113;1232;2345
"De 60 a 64 anos";913;1049;1962
"De 65 a 69 anos";765;799;1564
"De 70 a 74 anos";572;633;1205
"De 75 a 79 anos";380;446;826
"De 80 anos ou mais";312;420;732
"Total";23430;24207;47637
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

