 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 352870 Marabá Paulista
Período:2012
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";140;115;255
"De 5 a 9 anos";138;127;265
"De 10 a 14 anos";166;131;297
"De 15 a 19 anos";227;126;353
"De 20 a 24 anos";483;126;609
"De 25 a 29 anos";617;133;750
"De 30 a 34 anos";430;142;572
"De 35 a 39 anos";272;143;415
"De 40 a 44 anos";199;135;334
"De 45 a 49 anos";171;137;308
"De 50 a 54 anos";136;130;266
"De 55 a 59 anos";103;94;197
"De 60 a 64 anos";79;79;158
"De 65 a 69 anos";68;58;126
"De 70 a 74 anos";51;48;99
"De 75 a 79 anos";32;36;68
"De 80 anos ou mais";43;27;70
"Total";3355;1787;5142
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

