 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 352880 Maracaí
Período:2014
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";456;446;902
"De 5 a 9 anos";446;470;916
"De 10 a 14 anos";486;493;979
"De 15 a 19 anos";538;490;1028
"De 20 a 24 anos";570;519;1089
"De 25 a 29 anos";606;581;1187
"De 30 a 34 anos";565;553;1118
"De 35 a 39 anos";518;505;1023
"De 40 a 44 anos";491;485;976
"De 45 a 49 anos";480;491;971
"De 50 a 54 anos";459;461;920
"De 55 a 59 anos";384;405;789
"De 60 a 64 anos";310;311;621
"De 65 a 69 anos";225;259;484
"De 70 a 74 anos";152;183;335
"De 75 a 79 anos";101;131;232
"De 80 anos ou mais";103;146;249
"Total";6890;6929;13819
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

