 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 352940 Mauá
Período:2001
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";18765;18281;37046
"De 5 a 9 anos";17797;17690;35487
"De 10 a 14 anos";18389;18361;36750
"De 15 a 19 anos";18882;19375;38257
"De 20 a 24 anos";18171;18850;37021
"De 25 a 29 anos";16782;17469;34251
"De 30 a 34 anos";16211;16609;32820
"De 35 a 39 anos";14597;15564;30161
"De 40 a 44 anos";12569;13338;25907
"De 45 a 49 anos";10408;10502;20910
"De 50 a 54 anos";7609;7763;15372
"De 55 a 59 anos";5115;5517;10632
"De 60 a 64 anos";3817;4161;7978
"De 65 a 69 anos";2590;3084;5674
"De 70 a 74 anos";1761;2231;3992
"De 75 a 79 anos";1148;1643;2791
"De 80 anos ou mais";596;909;1505
"Total";185207;191347;376554
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

