 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 352990 Miracatu
Período:2002
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1282;1227;2509
"De 5 a 9 anos";1254;1251;2505
"De 10 a 14 anos";1190;1130;2320
"De 15 a 19 anos";1145;1089;2234
"De 20 a 24 anos";1052;998;2050
"De 25 a 29 anos";888;862;1750
"De 30 a 34 anos";800;790;1590
"De 35 a 39 anos";735;738;1473
"De 40 a 44 anos";672;627;1299
"De 45 a 49 anos";587;515;1102
"De 50 a 54 anos";487;433;920
"De 55 a 59 anos";413;357;770
"De 60 a 64 anos";351;302;653
"De 65 a 69 anos";270;222;492
"De 70 a 74 anos";195;149;344
"De 75 a 79 anos";138;128;266
"De 80 anos ou mais";73;76;149
"Total";11532;10894;22426
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

