 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 353220 Narandiba
Período:2000
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";153;191;344
"De 5 a 9 anos";180;196;376
"De 10 a 14 anos";180;193;373
"De 15 a 19 anos";214;190;404
"De 20 a 24 anos";180;171;351
"De 25 a 29 anos";146;148;294
"De 30 a 34 anos";166;172;338
"De 35 a 39 anos";137;124;261
"De 40 a 44 anos";126;118;244
"De 45 a 49 anos";98;74;172
"De 50 a 54 anos";87;77;164
"De 55 a 59 anos";55;60;115
"De 60 a 64 anos";61;62;123
"De 65 a 69 anos";59;49;108
"De 70 a 74 anos";30;38;68
"De 75 a 79 anos";33;17;50
"De 80 anos ou mais";16;11;27
"Total";1921;1891;3812
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

