 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 353230 Natividade da Serra
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";288;273;561
"De 5 a 9 anos";332;313;645
"De 10 a 14 anos";291;279;570
"De 15 a 19 anos";310;279;589
"De 20 a 24 anos";315;281;596
"De 25 a 29 anos";255;238;493
"De 30 a 34 anos";243;222;465
"De 35 a 39 anos";274;220;494
"De 40 a 44 anos";252;213;465
"De 45 a 49 anos";213;185;398
"De 50 a 54 anos";202;192;394
"De 55 a 59 anos";156;142;298
"De 60 a 64 anos";166;137;303
"De 65 a 69 anos";144;106;250
"De 70 a 74 anos";108;92;200
"De 75 a 79 anos";74;62;136
"De 80 anos ou mais";69;56;125
"Total";3692;3290;6982
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

