 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 353250 Neves Paulista
Período:2006
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";239;227;466
"De 5 a 9 anos";267;260;527
"De 10 a 14 anos";306;290;596
"De 15 a 19 anos";342;339;681
"De 20 a 24 anos";400;386;786
"De 25 a 29 anos";400;354;754
"De 30 a 34 anos";333;336;669
"De 35 a 39 anos";365;339;704
"De 40 a 44 anos";348;350;698
"De 45 a 49 anos";320;306;626
"De 50 a 54 anos";266;291;557
"De 55 a 59 anos";249;236;485
"De 60 a 64 anos";196;206;402
"De 65 a 69 anos";168;204;372
"De 70 a 74 anos";139;149;288
"De 75 a 79 anos";96;125;221
"De 80 anos ou mais";78;112;190
"Total";4512;4510;9022
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

