 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 353284 Nova Canaã Paulista
Período:2008
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";59;49;108
"De 5 a 9 anos";64;71;135
"De 10 a 14 anos";79;71;150
"De 15 a 19 anos";75;73;148
"De 20 a 24 anos";77;74;151
"De 25 a 29 anos";71;71;142
"De 30 a 34 anos";76;83;159
"De 35 a 39 anos";78;73;151
"De 40 a 44 anos";90;74;164
"De 45 a 49 anos";90;86;176
"De 50 a 54 anos";83;84;167
"De 55 a 59 anos";79;75;154
"De 60 a 64 anos";68;61;129
"De 65 a 69 anos";55;53;108
"De 70 a 74 anos";40;41;81
"De 75 a 79 anos";33;22;55
"De 80 anos ou mais";30;29;59
"Total";1147;1090;2237
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

