 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 353320 Nova Independência
Período:2007
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";127;120;247
"De 5 a 9 anos";109;118;227
"De 10 a 14 anos";134;117;251
"De 15 a 19 anos";137;115;252
"De 20 a 24 anos";132;124;256
"De 25 a 29 anos";128;123;251
"De 30 a 34 anos";107;112;219
"De 35 a 39 anos";94;102;196
"De 40 a 44 anos";92;99;191
"De 45 a 49 anos";87;90;177
"De 50 a 54 anos";78;74;152
"De 55 a 59 anos";55;54;109
"De 60 a 64 anos";41;48;89
"De 65 a 69 anos";34;37;71
"De 70 a 74 anos";30;31;61
"De 75 a 79 anos";25;20;45
"De 80 anos ou mais";24;25;49
"Total";1434;1409;2843
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

