 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 353370 Ocauçu
Período:2002
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";180;186;366
"De 5 a 9 anos";197;170;367
"De 10 a 14 anos";209;183;392
"De 15 a 19 anos";208;194;402
"De 20 a 24 anos";193;165;358
"De 25 a 29 anos";154;155;309
"De 30 a 34 anos";160;143;303
"De 35 a 39 anos";166;148;314
"De 40 a 44 anos";153;146;299
"De 45 a 49 anos";135;121;256
"De 50 a 54 anos";112;102;214
"De 55 a 59 anos";92;82;174
"De 60 a 64 anos";75;73;148
"De 65 a 69 anos";66;69;135
"De 70 a 74 anos";46;47;93
"De 75 a 79 anos";33;37;70
"De 80 anos ou mais";24;23;47
"Total";2203;2044;4247
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

