 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 353625 Parisi
Período:2003
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";78;62;140
"De 5 a 9 anos";81;60;141
"De 10 a 14 anos";78;75;153
"De 15 a 19 anos";92;89;181
"De 20 a 24 anos";86;81;167
"De 25 a 29 anos";74;76;150
"De 30 a 34 anos";73;78;151
"De 35 a 39 anos";79;80;159
"De 40 a 44 anos";79;74;153
"De 45 a 49 anos";83;59;142
"De 50 a 54 anos";62;48;110
"De 55 a 59 anos";49;46;95
"De 60 a 64 anos";41;38;79
"De 65 a 69 anos";34;32;66
"De 70 a 74 anos";25;27;52
"De 75 a 79 anos";21;23;44
"De 80 anos ou mais";17;16;33
"Total";1052;964;2016
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

