 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 353700 Pedregulho
Período:2015
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";625;597;1222
"De 5 a 9 anos";593;613;1206
"De 10 a 14 anos";655;550;1205
"De 15 a 19 anos";651;579;1230
"De 20 a 24 anos";715;648;1363
"De 25 a 29 anos";781;719;1500
"De 30 a 34 anos";689;667;1356
"De 35 a 39 anos";676;630;1306
"De 40 a 44 anos";538;507;1045
"De 45 a 49 anos";497;493;990
"De 50 a 54 anos";478;498;976
"De 55 a 59 anos";417;445;862
"De 60 a 64 anos";326;335;661
"De 65 a 69 anos";290;270;560
"De 70 a 74 anos";202;193;395
"De 75 a 79 anos";114;158;272
"De 80 anos ou mais";137;178;315
"Total";8384;8080;16464
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

