 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 353710 Pedreira
Período:2012
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1412;1336;2748
"De 5 a 9 anos";1491;1382;2873
"De 10 a 14 anos";1612;1539;3151
"De 15 a 19 anos";1640;1635;3275
"De 20 a 24 anos";1892;1824;3716
"De 25 a 29 anos";2076;1971;4047
"De 30 a 34 anos";1967;1921;3888
"De 35 a 39 anos";1740;1762;3502
"De 40 a 44 anos";1610;1627;3237
"De 45 a 49 anos";1534;1567;3101
"De 50 a 54 anos";1363;1383;2746
"De 55 a 59 anos";1079;1127;2206
"De 60 a 64 anos";810;862;1672
"De 65 a 69 anos";568;667;1235
"De 70 a 74 anos";405;534;939
"De 75 a 79 anos";302;406;708
"De 80 anos ou mais";259;505;764
"Total";21760;22048;43808
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

