 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 353770 Piacatu
Período:2012
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";185;182;367
"De 5 a 9 anos";191;178;369
"De 10 a 14 anos";208;190;398
"De 15 a 19 anos";215;217;432
"De 20 a 24 anos";229;232;461
"De 25 a 29 anos";233;224;457
"De 30 a 34 anos";208;208;416
"De 35 a 39 anos";192;200;392
"De 40 a 44 anos";197;180;377
"De 45 a 49 anos";205;183;388
"De 50 a 54 anos";185;165;350
"De 55 a 59 anos";149;134;283
"De 60 a 64 anos";119;130;249
"De 65 a 69 anos";91;112;203
"De 70 a 74 anos";76;91;167
"De 75 a 79 anos";61;62;123
"De 80 anos ou mais";55;60;115
"Total";2799;2748;5547
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

