 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 353890 Pirajuí
Período:2015
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";680;649;1329
"De 5 a 9 anos";722;645;1367
"De 10 a 14 anos";896;639;1535
"De 15 a 19 anos";1035;691;1726
"De 20 a 24 anos";1049;794;1843
"De 25 a 29 anos";1709;787;2496
"De 30 a 34 anos";1584;887;2471
"De 35 a 39 anos";1160;830;1990
"De 40 a 44 anos";885;703;1588
"De 45 a 49 anos";789;723;1512
"De 50 a 54 anos";742;736;1478
"De 55 a 59 anos";685;729;1414
"De 60 a 64 anos";574;544;1118
"De 65 a 69 anos";402;425;827
"De 70 a 74 anos";267;356;623
"De 75 a 79 anos";218;302;520
"De 80 anos ou mais";270;428;698
"Total";13667;10868;24535
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

