 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 354000 Pompéia
Período:2010
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";669;625;1294
"De 5 a 9 anos";775;643;1418
"De 10 a 14 anos";824;783;1607
"De 15 a 19 anos";771;710;1481
"De 20 a 24 anos";833;844;1677
"De 25 a 29 anos";857;939;1796
"De 30 a 34 anos";855;939;1794
"De 35 a 39 anos";746;735;1481
"De 40 a 44 anos";682;743;1425
"De 45 a 49 anos";658;730;1388
"De 50 a 54 anos";618;674;1292
"De 55 a 59 anos";514;553;1067
"De 60 a 64 anos";388;437;825
"De 65 a 69 anos";304;335;639
"De 70 a 74 anos";234;257;491
"De 75 a 79 anos";163;199;362
"De 80 anos ou mais";161;268;429
"Total";10052;10414;20466
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

