 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 354080 Potirendaba
Período:2002
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";503;458;961
"De 5 a 9 anos";516;464;980
"De 10 a 14 anos";567;508;1075
"De 15 a 19 anos";667;582;1249
"De 20 a 24 anos";688;603;1291
"De 25 a 29 anos";587;536;1123
"De 30 a 34 anos";554;537;1091
"De 35 a 39 anos";562;586;1148
"De 40 a 44 anos";527;527;1054
"De 45 a 49 anos";465;438;903
"De 50 a 54 anos";395;364;759
"De 55 a 59 anos";325;317;642
"De 60 a 64 anos";281;309;590
"De 65 a 69 anos";239;271;510
"De 70 a 74 anos";201;215;416
"De 75 a 79 anos";159;172;331
"De 80 anos ou mais";106;100;206
"Total";7342;6987;14329
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

