 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 354090 Pradópolis
Período:2005
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";693;660;1353
"De 5 a 9 anos";616;636;1252
"De 10 a 14 anos";697;611;1308
"De 15 a 19 anos";782;751;1533
"De 20 a 24 anos";910;753;1663
"De 25 a 29 anos";709;714;1423
"De 30 a 34 anos";594;617;1211
"De 35 a 39 anos";593;562;1155
"De 40 a 44 anos";542;522;1064
"De 45 a 49 anos";492;484;976
"De 50 a 54 anos";391;374;765
"De 55 a 59 anos";280;298;578
"De 60 a 64 anos";214;218;432
"De 65 a 69 anos";178;157;335
"De 70 a 74 anos";99;126;225
"De 75 a 79 anos";78;85;163
"De 80 anos ou mais";56;83;139
"Total";7924;7651;15575
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

