 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 354210 Rafard
Período:2014
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";312;300;612
"De 5 a 9 anos";308;302;610
"De 10 a 14 anos";338;317;655
"De 15 a 19 anos";320;345;665
"De 20 a 24 anos";353;355;708
"De 25 a 29 anos";390;404;794
"De 30 a 34 anos";381;384;765
"De 35 a 39 anos";344;338;682
"De 40 a 44 anos";303;314;617
"De 45 a 49 anos";297;308;605
"De 50 a 54 anos";294;275;569
"De 55 a 59 anos";225;224;449
"De 60 a 64 anos";161;179;340
"De 65 a 69 anos";130;154;284
"De 70 a 74 anos";88;115;203
"De 75 a 79 anos";73;88;161
"De 80 anos ou mais";91;130;221
"Total";4408;4532;8940
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

