 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 354230 Redenção da Serra
Período:2018
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";148;141;289
"De 5 a 9 anos";140;136;276
"De 10 a 14 anos";127;123;250
"De 15 a 19 anos";126;118;244
"De 20 a 24 anos";133;143;276
"De 25 a 29 anos";132;143;275
"De 30 a 34 anos";120;135;255
"De 35 a 39 anos";128;137;265
"De 40 a 44 anos";143;134;277
"De 45 a 49 anos";143;131;274
"De 50 a 54 anos";136;121;257
"De 55 a 59 anos";133;112;245
"De 60 a 64 anos";120;87;207
"De 65 a 69 anos";90;73;163
"De 70 a 74 anos";58;58;116
"De 75 a 79 anos";42;40;82
"De 80 anos ou mais";54;58;112
"Total";1973;1890;3863
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

