 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 354250 Reginópolis
Período:2009
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";205;194;399
"De 5 a 9 anos";198;211;409
"De 10 a 14 anos";266;178;444
"De 15 a 19 anos";510;210;720
"De 20 a 24 anos";1133;228;1361
"De 25 a 29 anos";513;226;739
"De 30 a 34 anos";344;199;543
"De 35 a 39 anos";254;195;449
"De 40 a 44 anos";208;180;388
"De 45 a 49 anos";190;165;355
"De 50 a 54 anos";167;153;320
"De 55 a 59 anos";143;142;285
"De 60 a 64 anos";113;119;232
"De 65 a 69 anos";82;114;196
"De 70 a 74 anos";73;78;151
"De 75 a 79 anos";54;58;112
"De 80 anos ou mais";76;70;146
"Total";4529;2720;7249
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

