 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 354260 Registro
Período:2005
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";2394;2282;4676
"De 5 a 9 anos";2710;2601;5311
"De 10 a 14 anos";2370;2394;4764
"De 15 a 19 anos";2584;2554;5138
"De 20 a 24 anos";2669;2760;5429
"De 25 a 29 anos";2487;2489;4976
"De 30 a 34 anos";2049;2149;4198
"De 35 a 39 anos";1885;2005;3890
"De 40 a 44 anos";1722;1892;3614
"De 45 a 49 anos";1515;1516;3031
"De 50 a 54 anos";1270;1313;2583
"De 55 a 59 anos";1010;1046;2056
"De 60 a 64 anos";890;878;1768
"De 65 a 69 anos";674;699;1373
"De 70 a 74 anos";494;511;1005
"De 75 a 79 anos";318;412;730
"De 80 anos ou mais";270;388;658
"Total";27311;27889;55200
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

