 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 354270 Restinga
Período:2011
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";307;295;602
"De 5 a 9 anos";312;305;617
"De 10 a 14 anos";318;334;652
"De 15 a 19 anos";269;323;592
"De 20 a 24 anos";325;310;635
"De 25 a 29 anos";285;293;578
"De 30 a 34 anos";264;260;524
"De 35 a 39 anos";230;233;463
"De 40 a 44 anos";232;211;443
"De 45 a 49 anos";207;211;418
"De 50 a 54 anos";186;203;389
"De 55 a 59 anos";166;135;301
"De 60 a 64 anos";108;91;199
"De 65 a 69 anos";69;75;144
"De 70 a 74 anos";66;58;124
"De 75 a 79 anos";44;39;83
"De 80 anos ou mais";35;48;83
"Total";3423;3424;6847
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

