 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 354290 Ribeirão Bonito
Período:2018
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";531;508;1039
"De 5 a 9 anos";523;487;1010
"De 10 a 14 anos";498;471;969
"De 15 a 19 anos";490;466;956
"De 20 a 24 anos";513;478;991
"De 25 a 29 anos";530;532;1062
"De 30 a 34 anos";545;543;1088
"De 35 a 39 anos";517;481;998
"De 40 a 44 anos";461;436;897
"De 45 a 49 anos";400;412;812
"De 50 a 54 anos";374;383;757
"De 55 a 59 anos";353;319;672
"De 60 a 64 anos";281;268;549
"De 65 a 69 anos";198;235;433
"De 70 a 74 anos";148;179;327
"De 75 a 79 anos";115;125;240
"De 80 anos ou mais";132;205;337
"Total";6609;6528;13137
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

