 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 354400 Rio das Pedras
Período:2016
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1321;1262;2583
"De 5 a 9 anos";1234;1251;2485
"De 10 a 14 anos";1256;1247;2503
"De 15 a 19 anos";1366;1301;2667
"De 20 a 24 anos";1417;1251;2668
"De 25 a 29 anos";1607;1481;3088
"De 30 a 34 anos";1676;1517;3193
"De 35 a 39 anos";1424;1350;2774
"De 40 a 44 anos";1273;1193;2466
"De 45 a 49 anos";1078;1070;2148
"De 50 a 54 anos";943;946;1889
"De 55 a 59 anos";787;762;1549
"De 60 a 64 anos";566;634;1200
"De 65 a 69 anos";439;469;908
"De 70 a 74 anos";280;331;611
"De 75 a 79 anos";184;238;422
"De 80 anos ou mais";189;289;478
"Total";17040;16592;33632
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

