 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 354490 Sales Oliveira
Período:2006
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";368;356;724
"De 5 a 9 anos";439;375;814
"De 10 a 14 anos";422;407;829
"De 15 a 19 anos";485;428;913
"De 20 a 24 anos";453;475;928
"De 25 a 29 anos";420;459;879
"De 30 a 34 anos";376;378;754
"De 35 a 39 anos";388;383;771
"De 40 a 44 anos";367;362;729
"De 45 a 49 anos";333;362;695
"De 50 a 54 anos";268;301;569
"De 55 a 59 anos";264;249;513
"De 60 a 64 anos";168;176;344
"De 65 a 69 anos";140;146;286
"De 70 a 74 anos";105;121;226
"De 75 a 79 anos";79;92;171
"De 80 anos ou mais";69;108;177
"Total";5144;5178;10322
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

