 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 354580 Santa Bárbara d'Oeste
Período:2007
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";6322;5937;12259
"De 5 a 9 anos";6754;6423;13177
"De 10 a 14 anos";7232;7054;14286
"De 15 a 19 anos";8117;7880;15997
"De 20 a 24 anos";8784;8518;17302
"De 25 a 29 anos";8239;8128;16367
"De 30 a 34 anos";7340;7227;14567
"De 35 a 39 anos";7012;7238;14250
"De 40 a 44 anos";6896;7183;14079
"De 45 a 49 anos";6325;6735;13060
"De 50 a 54 anos";5330;5487;10817
"De 55 a 59 anos";3924;3966;7890
"De 60 a 64 anos";2644;2874;5518
"De 65 a 69 anos";1914;2271;4185
"De 70 a 74 anos";1424;1871;3295
"De 75 a 79 anos";984;1298;2282
"De 80 anos ou mais";778;1151;1929
"Total";90019;91241;181260
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

