 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 354700 Santa Maria da Serra
Período:2002
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";224;240;464
"De 5 a 9 anos";233;239;472
"De 10 a 14 anos";265;234;499
"De 15 a 19 anos";274;230;504
"De 20 a 24 anos";248;200;448
"De 25 a 29 anos";199;187;386
"De 30 a 34 anos";187;182;369
"De 35 a 39 anos";190;180;370
"De 40 a 44 anos";172;146;318
"De 45 a 49 anos";135;114;249
"De 50 a 54 anos";102;94;196
"De 55 a 59 anos";87;86;173
"De 60 a 64 anos";81;73;154
"De 65 a 69 anos";61;59;120
"De 70 a 74 anos";44;44;88
"De 75 a 79 anos";37;43;80
"De 80 anos ou mais";20;22;42
"Total";2559;2373;4932
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

