 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 354860 São Bento do Sapucaí
Período:2014
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";349;333;682
"De 5 a 9 anos";361;340;701
"De 10 a 14 anos";375;373;748
"De 15 a 19 anos";415;396;811
"De 20 a 24 anos";405;392;797
"De 25 a 29 anos";383;354;737
"De 30 a 34 anos";361;390;751
"De 35 a 39 anos";385;399;784
"De 40 a 44 anos";381;411;792
"De 45 a 49 anos";402;407;809
"De 50 a 54 anos";392;379;771
"De 55 a 59 anos";330;306;636
"De 60 a 64 anos";278;242;520
"De 65 a 69 anos";220;210;430
"De 70 a 74 anos";180;164;344
"De 75 a 79 anos";112;112;224
"De 80 anos ou mais";126;134;260
"Total";5455;5342;10797
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

