 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 355040 São Pedro
Período:2014
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1107;1058;2165
"De 5 a 9 anos";1105;1064;2169
"De 10 a 14 anos";1167;1160;2327
"De 15 a 19 anos";1250;1241;2491
"De 20 a 24 anos";1261;1239;2500
"De 25 a 29 anos";1273;1226;2499
"De 30 a 34 anos";1303;1346;2649
"De 35 a 39 anos";1246;1306;2552
"De 40 a 44 anos";1156;1218;2374
"De 45 a 49 anos";1080;1116;2196
"De 50 a 54 anos";1045;1121;2166
"De 55 a 59 anos";905;1045;1950
"De 60 a 64 anos";793;904;1697
"De 65 a 69 anos";638;789;1427
"De 70 a 74 anos";479;582;1061
"De 75 a 79 anos";344;426;770
"De 80 anos ou mais";365;547;912
"Total";16517;17388;33905
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

