 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 355110 Sarapuí
Período:2015
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";387;369;756
"De 5 a 9 anos";341;352;693
"De 10 a 14 anos";390;408;798
"De 15 a 19 anos";399;406;805
"De 20 a 24 anos";413;355;768
"De 25 a 29 anos";395;383;778
"De 30 a 34 anos";371;385;756
"De 35 a 39 anos";401;388;789
"De 40 a 44 anos";323;301;624
"De 45 a 49 anos";330;303;633
"De 50 a 54 anos";343;274;617
"De 55 a 59 anos";253;246;499
"De 60 a 64 anos";218;198;416
"De 65 a 69 anos";161;148;309
"De 70 a 74 anos";116;123;239
"De 75 a 79 anos";86;87;173
"De 80 anos ou mais";84;103;187
"Total";5011;4829;9840
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

